anime_id	name	genre	type	episodes	rating	members	episodes_num	members_num	rating_num	genre_list	genre_count
44	Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen	Action, Drama, Historical, Martial Arts, Romance, Samurai	OVA	4	8.83	129307	4.0	129307	8.83	['Action', 'Drama', 'Historical', 'Martial Arts', 'Romance', 'Samurai']	6
1	Cowboy Bebop	Action, Adventure, Comedy, Drama, Sci-Fi, Space	TV	26	8.82	486824	26.0	486824	8.82	['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']	6
30276	One Punch Man	Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural	TV	12	8.82	552458	12.0	552458	8.82	['Action', 'Comedy', 'Parody', 'Sci-Fi', 'Seinen', 'Super Power', 'Supernatural']	7
164	Mononoke Hime	Action, Adventure, Fantasy	Movie	1	8.81	339556	1.0	339556	8.81	['Action', 'Adventure', 'Fantasy']	3
7311	Suzumiya Haruhi no Shoushitsu	Comedy, Mystery, Romance, School, Sci-Fi, Supernatural	Movie	1	8.81	240297	1.0	240297	8.81	['Comedy', 'Mystery', 'Romance', 'School', 'Sci-Fi', 'Supernatural']	6
17074	Monogatari Series: Second Season	Comedy, Mystery, Romance, Supernatural, Vampire	TV	26	8.8	205959	26.0	205959	8.8	['Comedy', 'Mystery', 'Romance', 'Supernatural', 'Vampire']	5
21939	Mushishi Zoku Shou	Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural	TV	10	8.8	101351	10.0	101351	8.8	['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']	7
457	Mushishi	Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural	TV	26	8.78	300030	26.0	300030	8.78	['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']	7
2001	Tengen Toppa Gurren Lagann	Action, Adventure, Comedy, Mecha, Sci-Fi	TV	27	8.78	562962	27.0	562962	8.78	['Action', 'Adventure', 'Comedy', 'Mecha', 'Sci-Fi']	5
245	Great Teacher Onizuka	Comedy, Drama, School, Shounen, Slice of Life	TV	43	8.77	268487	43.0	268487	8.77	['Comedy', 'Drama', 'School', 'Shounen', 'Slice of Life']	5
32983	Natsume Yuujinchou Go	Drama, Fantasy, Shoujo, Slice of Life, Supernatural	TV	13	8.76	38865	13.0	38865	8.76	['Drama', 'Fantasy', 'Shoujo', 'Slice of Life', 'Supernatural']	5
5258	Hajime no Ippo: New Challenger	Comedy, Drama, Shounen, Sports	TV	26	8.75	88995	26.0	88995	8.75	['Comedy', 'Drama', 'Shounen', 'Sports']	4
28957	Mushishi Zoku Shou: Suzu no Shizuku	Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural	Movie	1	8.75	32266	1.0	32266	8.75	['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']	7
11665	Natsume Yuujinchou Shi	Drama, Fantasy, Shoujo, Slice of Life, Supernatural	TV	13	8.75	98431	13.0	98431	8.75	['Drama', 'Fantasy', 'Shoujo', 'Slice of Life', 'Supernatural']	5
431	Howl no Ugoku Shiro	Adventure, Drama, Fantasy, Romance	Movie	1	8.74	333186	1.0	333186	8.74	['Adventure', 'Drama', 'Fantasy', 'Romance']	4
11741	Fate/Zero 2nd Season	Action, Fantasy, Supernatural, Thriller	TV	12	8.73	340973	12.0	340973	8.73	['Action', 'Fantasy', 'Supernatural', 'Thriller']	4
31757	Kizumonogatari II: Nekketsu-hen	Action, Mystery, Supernatural, Vampire	Movie	1	8.73	34347	1.0	34347	8.73	['Action', 'Mystery', 'Supernatural', 'Vampire']	4
19	Monster	Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller	TV	74	8.72	247562	74.0	247562	8.72	['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']	7
12365	Bakuman. 3rd Season	Comedy, Drama, Romance, Shounen	TV	25	8.71	133620	25.0	133620	8.71	['Comedy', 'Drama', 'Romance', 'Shounen']	4
1535	Death Note	Mystery, Police, Psychological, Supernatural, Thriller	TV	37	8.71	1013917	37.0	1013917	8.71	['Mystery', 'Police', 'Psychological', 'Supernatural', 'Thriller']	5
32366	Gintama°: Aizome Kaori-hen	Comedy, Parody	OVA	2	8.69	16947	2.0	16947	8.69	['Comedy', 'Parody']	2
30654	Ansatsu Kyoushitsu (TV) 2nd Season	Action, Comedy, School, Shounen	TV	25	8.68	176475	25.0	176475	8.68	['Action', 'Comedy', 'School', 'Shounen']	4
20583	Haikyuu!!	Comedy, Drama, School, Shounen, Sports	TV	25	8.68	284498	25.0	284498	8.68	['Comedy', 'Drama', 'School', 'Shounen', 'Sports']	5
19647	Hajime no Ippo: Rising	Comedy, Drama, Shounen, Sports	TV	25	8.68	66756	25.0	66756	8.68	['Comedy', 'Drama', 'Shounen', 'Sports']	4
4282	Kara no Kyoukai 5: Mujun Rasen	Action, Drama, Mystery, Romance, Supernatural, Thriller	Movie	1	8.68	111074	1.0	111074	8.68	['Action', 'Drama', 'Mystery', 'Romance', 'Supernatural', 'Thriller']	6
10379	Natsume Yuujinchou San	Drama, Fantasy, Shoujo, Slice of Life, Supernatural	TV	13	8.67	102322	13.0	102322	8.67	['Drama', 'Fantasy', 'Shoujo', 'Slice of Life', 'Supernatural']	5
22135	Ping Pong The Animation	Psychological, Seinen, Sports	TV	11	8.67	97187	11.0	97187	8.67	['Psychological', 'Seinen', 'Sports']	3
21329	Mushishi Special: Hihamukage	Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural	Special	1	8.66	49036	1.0	49036	8.66	['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']	7
31043	Boku dake ga Inai Machi	Mystery, Psychological, Seinen, Supernatural	TV	12	8.65	402381	12.0	402381	8.65	['Mystery', 'Psychological', 'Seinen', 'Supernatural']	4
7785	Yojouhan Shinwa Taikei	Mystery, Psychological, Romance	TV	11	8.65	122531	11.0	122531	8.65	['Mystery', 'Psychological', 'Romance']	3
3297	Aria The Origination	Fantasy, Sci-Fi, Shounen, Slice of Life	TV	13	8.64	56162	13.0	56162	8.64	['Fantasy', 'Sci-Fi', 'Shounen', 'Slice of Life']	4
30709	Kamisama Hajimemashita: Kako-hen	Comedy, Demons, Fantasy, Shoujo, Supernatural	OVA	4	8.64	33422	4.0	33422	8.64	['Comedy', 'Demons', 'Fantasy', 'Shoujo', 'Supernatural']	5
6114	Rainbow: Nisha Rokubou no Shichinin	Drama, Historical, Seinen, Thriller	TV	26	8.64	139474	26.0	139474	8.64	['Drama', 'Historical', 'Seinen', 'Thriller']	4
31240	Re:Zero kara Hajimeru Isekai Seikatsu	Drama, Fantasy, Psychological, Thriller	TV	25	8.64	355839	25.0	355839	8.64	['Drama', 'Fantasy', 'Psychological', 'Thriller']	4
4565	Tengen Toppa Gurren Lagann Movie: Lagann-hen	Action, Mecha, Sci-Fi, Space, Super Power	Movie	1	8.64	82253	1.0	82253	8.64	['Action', 'Mecha', 'Sci-Fi', 'Space', 'Super Power']	5
5300	Zoku Natsume Yuujinchou	Drama, Fantasy, Shoujo, Slice of Life, Supernatural	TV	13	8.64	114173	13.0	114173	8.64	['Drama', 'Fantasy', 'Shoujo', 'Slice of Life', 'Supernatural']	5
9989	Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.	Drama, Slice of Life, Supernatural	TV	11	8.62	463835	11.0	463835	8.62	['Drama', 'Slice of Life', 'Supernatural']	3
24415	Kuroko no Basket 3rd Season	Comedy, School, Shounen, Sports	TV	25	8.62	184525	25.0	184525	8.62	['Comedy', 'School', 'Shounen', 'Sports']	4
11577	Steins;Gate Movie: Fuka Ryouiki no Déjà vu	Sci-Fi, Thriller	Movie	1	8.61	192424	1.0	192424	8.61	['Sci-Fi', 'Thriller']	2
10408	Hotarubi no Mori e	Drama, Romance, Shoujo, Supernatural	Movie	1	8.61	197439	1.0	197439	8.61	['Drama', 'Romance', 'Shoujo', 'Supernatural']	4
28171	Shokugeki no Souma	Ecchi, School, Shounen	TV	24	8.61	348951	24.0	348951	8.61	['Ecchi', 'School', 'Shounen']	3
32995	Yuri!!! on Ice	Comedy, Sports	TV	12	8.61	103178	12.0	103178	8.61	['Comedy', 'Sports']	2
21899	Gintama: Yorinuki Gintama-san on Theater 2D	Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen	Movie	2	8.6	11104	2.0	11104	8.6	['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']	7
26055	JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season	Action, Adventure, Drama, Shounen, Supernatural	TV	24	8.6	93657	24.0	93657	8.6	['Action', 'Adventure', 'Drama', 'Shounen', 'Supernatural']	5
7472	Gintama Movie: Shinyaku Benizakura-hen	Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen	Movie	1	8.59	51185	1.0	51185	8.59	['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']	7
777	Hellsing Ultimate	Action, Horror, Military, Seinen, Supernatural, Vampire	OVA	10	8.59	297454	10.0	297454	8.59	['Action', 'Horror', 'Military', 'Seinen', 'Supernatural', 'Vampire']	6
22535	Kiseijuu: Sei no Kakuritsu	Action, Drama, Horror, Psychological, Sci-Fi, Seinen	TV	24	8.59	425457	24.0	425457	8.59	['Action', 'Drama', 'Horror', 'Psychological', 'Sci-Fi', 'Seinen']	6
28735	Shouwa Genroku Rakugo Shinjuu	Drama, Historical, Josei	TV	13	8.59	71295	13.0	71295	8.59	['Drama', 'Historical', 'Josei']	3
12431	Uchuu Kyoudai	Comedy, Sci-Fi, Seinen, Slice of Life, Space	TV	99	8.59	72958	99.0	72958	8.59	['Comedy', 'Sci-Fi', 'Seinen', 'Slice of Life', 'Space']	5
28805	Bakemono no Ko	Adventure, Supernatural	Movie	1	8.58	80825	1.0	80825	8.58	['Adventure', 'Supernatural']	2
578	Hotaru no Haka	Drama, Historical	Movie	1	8.58	174878	1.0	174878	8.58	['Drama', 'Historical']	2
16894	Kuroko no Basket 2nd Season	Comedy, School, Shounen, Sports	TV	25	8.58	243325	25.0	243325	8.58	['Comedy', 'School', 'Shounen', 'Sports']	4
5028	Major S5	Comedy, Drama, Romance, Sports	TV	25	8.58	28653	25.0	28653	8.58	['Comedy', 'Drama', 'Romance', 'Sports']	4
21	One Piece	Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power	TV	Unknown	8.58	504862		504862	8.58	['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen', 'Super Power']	7
801	Ghost in the Shell: Stand Alone Complex 2nd GIG	Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen	TV	26	8.57	113993	26.0	113993	8.57	['Action', 'Mecha', 'Military', 'Mystery', 'Police', 'Sci-Fi', 'Seinen']	7
31933	JoJo no Kimyou na Bouken: Diamond wa Kudakenai	Action, Adventure, Comedy, Drama, Shounen, Supernatural	TV	39	8.57	74074	39.0	74074	8.57	['Action', 'Adventure', 'Comedy', 'Drama', 'Shounen', 'Supernatural']	6
5205	Kara no Kyoukai 7: Satsujin Kousatsu (Kou)	Action, Mystery, Romance, Supernatural, Thriller	Movie	1	8.57	95658	1.0	95658	8.57	['Action', 'Mystery', 'Romance', 'Supernatural', 'Thriller']	5
17389	Kingdom 2nd Season	Action, Historical, Military, Seinen	TV	39	8.57	31234	39.0	31234	8.57	['Action', 'Historical', 'Military', 'Seinen']	4
170	Slam Dunk	Comedy, Drama, School, Shounen, Sports	TV	101	8.56	82570	101.0	82570	8.56	['Comedy', 'Drama', 'School', 'Shounen', 'Sports']	5
10162	Usagi Drop	Josei, Slice of Life	TV	11	8.56	194855	11.0	194855	8.56	['Josei', 'Slice of Life']	2
18617	Girls und Panzer der Film	Military, School	Movie	1	8.55	25641	1.0	25641	8.55	['Military', 'School']	2
32182	Mob Psycho 100	Action, Comedy, Slice of Life, Supernatural	TV	12	8.55	193716	12.0	193716	8.55	['Action', 'Comedy', 'Slice of Life', 'Supernatural']	4
877	Nana	Comedy, Drama, Music, Romance, Shoujo, Slice of Life	TV	47	8.55	197256	47.0	197256	8.55	['Comedy', 'Drama', 'Music', 'Romance', 'Shoujo', 'Slice of Life']	6
2251	Baccano!	Action, Comedy, Historical, Mystery, Seinen, Supernatural	TV	13	8.54	363215	13.0	363215	8.54	['Action', 'Comedy', 'Historical', 'Mystery', 'Seinen', 'Supernatural']	6
24687	Mushishi Zoku Shou: Odoro no Michi	Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural	Special	1	8.54	34011	1.0	34011	8.54	['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']	7
16498	Shingeki no Kyojin	Action, Drama, Fantasy, Shounen, Super Power	TV	25	8.54	896229	25.0	896229	8.54	['Action', 'Drama', 'Fantasy', 'Shounen', 'Super Power']	5
10030	Bakuman. 2nd Season	Comedy, Drama, Romance, Shounen	TV	25	8.53	151561	25.0	151561	8.53	['Comedy', 'Drama', 'Romance', 'Shounen']	4
5941	Cross Game	Comedy, Drama, Romance, School, Sports	TV	50	8.53	53108	50.0	53108	8.53	['Comedy', 'Drama', 'Romance', 'School', 'Sports']	5
30346	Doukyuusei (Movie)	Romance, School, Shounen Ai, Slice of Life	Movie	1	8.53	28864	1.0	28864	8.53	['Romance', 'School', 'Shounen Ai', 'Slice of Life']	4
3784	Evangelion: 2.0 You Can (Not) Advance	Action, Mecha, Sci-Fi	Movie	1	8.53	182224	1.0	182224	8.53	['Action', 'Mecha', 'Sci-Fi']	3
13125	Shinsekai yori	Drama, Horror, Mystery, Sci-Fi, Supernatural	TV	25	8.53	288376	25.0	288376	8.53	['Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Supernatural']	5
12029	Uchuu Senkan Yamato 2199	Action, Drama, Military, Sci-Fi, Space	OVA	26	8.53	44223	26.0	44223	8.53	['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']	5
14397	Chihayafuru 2	Drama, Game, Josei, Slice of Life, Sports	TV	25	8.52	86074	25.0	86074	8.52	['Drama', 'Game', 'Josei', 'Slice of Life', 'Sports']	5
10087	Fate/Zero	Action, Fantasy, Supernatural	TV	13	8.51	453630	13.0	453630	8.51	['Action', 'Fantasy', 'Supernatural']	3
14719	JoJo no Kimyou na Bouken (TV)	Action, Adventure, Shounen, Supernatural, Vampire	TV	26	8.51	190197	26.0	190197	8.51	['Action', 'Adventure', 'Shounen', 'Supernatural', 'Vampire']	5
9756	Mahou Shoujo Madoka★Magica	Drama, Magic, Psychological, Thriller	TV	12	8.51	462974	12.0	462974	8.51	['Drama', 'Magic', 'Psychological', 'Thriller']	4
10165	Nichijou	Comedy, School, Slice of Life	TV	26	8.52	254436	26.0	254436	8.52	['Comedy', 'School', 'Slice of Life']	3
13601	Psycho-Pass	Action, Police, Psychological, Sci-Fi	TV	22	8.5	509109	22.0	509109	8.5	['Action', 'Police', 'Psychological', 'Sci-Fi']	4
22789	Barakamon	Comedy, Slice of Life	TV	12	8.5	225927	12.0	225927	8.5	['Comedy', 'Slice of Life']	2
30230	Diamond no Ace: Second Season	Comedy, School, Shounen, Sports	TV	51	8.5	38531	51.0	38531	8.5	['Comedy', 'School', 'Shounen', 'Sports']	4
18115	Magi: The Kingdom of Magic	Action, Adventure, Fantasy, Magic, Shounen	TV	25	8.5	245026	25.0	245026	8.5	['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen']	5
11981	Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari	Drama, Magic, Psychological, Thriller	Movie	1	8.5	135735	1.0	135735	8.5	['Drama', 'Magic', 'Psychological', 'Thriller']	4
11917	Major: World Series	Comedy, Drama, Sports	OVA	2	8.5	13405	2.0	13405	8.5	['Comedy', 'Drama', 'Sports']	3
205	Samurai Champloo	Action, Adventure, Comedy, Historical, Samurai, Shounen	TV	26	8.5	390076	26.0	390076	8.5	['Action', 'Adventure', 'Comedy', 'Historical', 'Samurai', 'Shounen']	6
32282	Shokugeki no Souma: Ni no Sara	Ecchi, School, Shounen	TV	13	8.5	185015	13.0	185015	8.5	['Ecchi', 'School', 'Shounen']	3
6594	Katanagatari	Action, Adventure, Historical, Martial Arts, Romance	TV	12	8.49	207241	12.0	207241	8.49	['Action', 'Adventure', 'Historical', 'Martial Arts', 'Romance']	5
11979	Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari	Drama, Magic, Psychological, Thriller	Movie	1	8.49	85361	1.0	85361	8.49	['Drama', 'Magic', 'Psychological', 'Thriller']	4
7655	Major S6	Comedy, Drama, Sports	TV	25	8.49	24788	25.0	24788	8.49	['Comedy', 'Drama', 'Sports']	3
2246	Mononoke	Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural	TV	12	8.49	88850	12.0	88850	8.49	['Demons', 'Fantasy', 'Historical', 'Horror', 'Mystery', 'Seinen', 'Supernatural']	7
25835	Shirobako	Comedy, Drama	TV	24	8.49	146895	24.0	146895	8.49	['Comedy', 'Drama']	2
2921	Ashita no Joe 2	Drama, Sports	TV	47	8.48	6259	47.0	6259	8.48	['Drama', 'Sports']	2
136	Hunter x Hunter	Action, Adventure, Shounen, Super Power	TV	62	8.48	166255	62.0	166255	8.48	['Action', 'Adventure', 'Shounen', 'Super Power']	4
30503	Noragami Aragoto	Action, Adventure, Shounen, Supernatural	TV	13	8.48	299434	13.0	299434	8.48	['Action', 'Adventure', 'Shounen', 'Supernatural']	4
12531	Sakamichi no Apollon	Drama, Josei, Music, Romance, School	TV	12	8.48	146592	12.0	146592	8.48	['Drama', 'Josei', 'Music', 'Romance', 'School']	5
523	Tonari no Totoro	Adventure, Comedy, Supernatural	Movie	1	8.48	271484	1.0	271484	8.48	['Adventure', 'Comedy', 'Supernatural']	3
467	Ghost in the Shell: Stand Alone Complex	Action, Mecha, Military, Police, Sci-Fi, Seinen	TV	26	8.47	194491	26.0	194491	8.47	['Action', 'Mecha', 'Military', 'Police', 'Sci-Fi', 'Seinen']	6
572	Kaze no Tani no Nausicaä	Adventure, Fantasy	Movie	1	8.47	143273	1.0	143273	8.47	['Adventure', 'Fantasy']	2
19815	No Game No Life	Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural	TV	12	8.47	602291	12.0	602291	8.47	['Adventure', 'Comedy', 'Ecchi', 'Fantasy', 'Game', 'Supernatural']	6
2559	Romeo no Aoi Sora	Adventure, Drama, Historical, Slice of Life	TV	33	8.47	15074	33.0	15074	8.47	['Adventure', 'Drama', 'Historical', 'Slice of Life']	4
392	Yuu☆Yuu☆Hakusho	Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen	TV	112	8.47	195017	112.0	195017	8.47	['Action', 'Comedy', 'Demons', 'Fantasy', 'Martial Arts', 'School', 'Shounen']	7
486	Kino no Tabi: The Beautiful World	Action, Adventure, Slice of Life	TV	13	8.46	102822	13.0	102822	8.46	['Action', 'Adventure', 'Slice of Life']	3
11771	Kuroko no Basket	Comedy, School, Shounen, Sports	TV	25	8.46	338315	25.0	338315	8.46	['Comedy', 'School', 'Shounen', 'Sports']	4
1698	Nodame Cantabile	Comedy, Drama, Josei, Music, Romance, Slice of Life	TV	23	8.46	157025	23.0	157025	8.46	['Comedy', 'Drama', 'Josei', 'Music', 'Romance', 'Slice of Life']	6
5341	Ookami to Koushinryou II	Adventure, Fantasy, Historical, Romance	TV	12	8.46	210491	12.0	210491	8.46	['Adventure', 'Fantasy', 'Historical', 'Romance']	4
25781	Shingeki no Kyojin: Kuinaki Sentaku	Action, Fantasy, Shoujo, Supernatural	OVA	2	8.45	92543	2.0	92543	8.45	['Action', 'Fantasy', 'Shoujo', 'Supernatural']	4
10863	Steins;Gate: Oukoubakko no Poriomania	Sci-Fi, Thriller	Special	1	8.46	159548	1.0	159548	8.46	['Sci-Fi', 'Thriller']	2
28701	Fate/stay night: Unlimited Blade Works 2nd Season	Action, Fantasy, Magic, Shounen, Supernatural	TV	13	8.45	205987	13.0	205987	8.45	['Action', 'Fantasy', 'Magic', 'Shounen', 'Supernatural']	5
5420	Kemono no Souja Erin	Drama, Fantasy	TV	50	8.45	36751	50.0	36751	8.45	['Drama', 'Fantasy']	2
9260	Kizumonogatari I: Tekketsu-hen	Mystery, Supernatural, Vampire	Movie	1	8.45	99579	1.0	99579	8.45	['Mystery', 'Supernatural', 'Vampire']	3
32	Neon Genesis Evangelion: The End of Evangelion	Dementia, Drama, Mecha, Psychological, Sci-Fi	Movie	1	8.45	215630	1.0	215630	8.45	['Dementia', 'Drama', 'Mecha', 'Psychological', 'Sci-Fi']	5
4224	Toradora!	Comedy, Romance, School, Slice of Life	TV	25	8.45	633817	25.0	633817	8.45	['Comedy', 'Romance', 'School', 'Slice of Life']	4
2236	Toki wo Kakeru Shoujo	Adventure, Drama, Romance, Sci-Fi	Movie	1	8.44	289206	1.0	289206	8.44	['Adventure', 'Drama', 'Romance', 'Sci-Fi']	4
2685	Tsubasa: Tokyo Revelations	Action, Adventure, Drama, Fantasy, Romance, Shounen	OVA	3	8.44	57963	3.0	57963	8.44	['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance', 'Shounen']	6
31181	Owarimonogatari	Comedy, Mystery, Supernatural	TV	12	8.43	107855	12.0	107855	8.43	['Comedy', 'Mystery', 'Supernatural']	3
45	Rurouni Kenshin: Meiji Kenkaku Romantan	Action, Adventure, Comedy, Historical, Romance, Samurai	TV	94	8.43	218928	94.0	218928	8.43	['Action', 'Adventure', 'Comedy', 'Historical', 'Romance', 'Samurai']	6
2418	Stranger: Mukou Hadan	Action, Adventure, Historical, Samurai	Movie	1	8.43	125503	1.0	125503	8.43	['Action', 'Adventure', 'Historical', 'Samurai']	4
1365	Detective Conan Movie 06: The Phantom of Baker Street	Adventure, Mystery, Police, Shounen	Movie	1	8.42	28462	1.0	28462	8.42	['Adventure', 'Mystery', 'Police', 'Shounen']	4
22297	Fate/stay night: Unlimited Blade Works	Action, Fantasy, Magic, Shounen, Supernatural	TV	12	8.42	267484	12.0	267484	8.42	['Action', 'Fantasy', 'Magic', 'Shounen', 'Supernatural']	5
627	Major S1	Comedy, Drama, Shounen, Sports	TV	26	8.42	41061	26.0	41061	8.42	['Comedy', 'Drama', 'Shounen', 'Sports']	4
10937	Mobile Suit Gundam: The Origin	Action, Mecha, Military, Sci-Fi, Shounen, Space	OVA	6	8.42	15420	6.0	15420	8.42	['Action', 'Mecha', 'Military', 'Sci-Fi', 'Shounen', 'Space']	6
23755	Nanatsu no Taizai	Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural	TV	24	8.42	331627	24.0	331627	8.42	['Action', 'Adventure', 'Ecchi', 'Fantasy', 'Shounen', 'Supernatural']	6
4081	Natsume Yuujinchou	Drama, Fantasy, Shoujo, Slice of Life, Supernatural	TV	13	8.42	210736	13.0	210736	8.42	['Drama', 'Fantasy', 'Shoujo', 'Slice of Life', 'Supernatural']	5
4155	One Piece Film: Strong World	Action, Adventure, Comedy, Drama, Fantasy, Shounen	Movie	1	8.42	85020	1.0	85020	8.42	['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen']	6
